time,us500_r20,xau_r20,ukoil_price,regime
2020-01-13,0.025595265903604947,0.047071132542399585,63.818,RISK_ON
2020-01-14,0.017364860671507554,0.04809401540588598,64.14,RISK_ON
2020-01-15,0.021698098588275316,0.053017903142099865,63.832,RISK_ON
2020-01-16,0.02866191705429011,0.049836215042243115,64.215,RISK_ON
2020-01-17,0.030468689437045615,0.04842043185499456,64.5,RISK_ON
2020-01-20,0.027285597705128728,0.03312439366245723,64.694,RISK_ON
2020-01-21,0.025237323454503358,0.030149320311626093,63.889,RISK_ON
2020-01-22,0.028522407138513506,0.03164986857980301,62.017,RISK_ON
2020-01-23,0.03476364449746505,0.030389067197234665,61.442,RISK_ON
2020-01-24,0.017072386920543137,0.031967803648490944,59.949,RISK_ON
2020-01-27,0.004474127668784522,0.0188010307478077,58.186,RISK_ON
2020-01-28,0.016572802730587144,-0.000497063501774142,59.206,RISK_ON
2020-01-29,0.010109361262359062,0.00851374874816635,58.63,RISK_ON
2020-01-30,0.027342249646355565,-0.012484537743579494,58.173,RISK_ON
2020-01-31,-0.009910191762670828,0.019757102274550853,56.578,RISK_OFF
2020-02-03,-0.006005370806356769,0.010754450503790647,54.107,RISK_OFF
2020-02-04,0.008902985622964099,-0.0032799144682451598,53.798,RISK_ON
2020-02-05,0.012745488060784904,0.007038625720624303,55.741,RISK_ON
2020-02-06,0.021518593528866425,0.01049049434074778,55.243,RISK_ON
2020-02-07,0.008135753634091358,0.008927217442933344,54.609,RISK_ON
2020-02-10,0.008669328751418126,0.009373735817071571,53.525,RISK_ON
2020-02-11,0.010117126699959789,0.006457372605942258,54.198,RISK_ON
2020-02-12,0.013315038320228956,0.005542613041314315,56.272,RISK_ON
2020-02-13,0.01585365853658538,0.013389948768556481,56.464,RISK_ON
2020-02-14,0.019616833735041528,0.014489866892281045,57.229,RISK_ON
2020-02-17,0.025772679076522254,0.00820195337334595,57.423,RISK_ON
2020-02-18,0.03613814766302981,0.011455368922272946,57.508,RISK_ON
2020-02-19,0.04408025561623097,0.018507204027677693,58.914,RISK_ON
2020-02-20,0.024324208829849647,0.034213700782180556,58.603,RISK_ON
2020-02-21,0.019585746048034203,0.042041345094764315,57.792,RISK_ON
2020-02-24,0.003677233679371339,0.040971699467020395,55.619,RISK_ON
2020-02-25,-0.02498855438830927,0.031711727355776764,54.267,RISK_OFF
2020-02-26,-0.0430625846186109,0.0410050698144615,52.714,RISK_OFF
2020-02-27,-0.0997147538993749,0.058956046466285494,50.88,RISK_OFF
2020-02-28,-0.10415304806740833,0.019253064141320664,50.052,RISK_OFF
2020-03-02,-0.071806413952061,0.013891710638189503,52.677,RISK_OFF
2020-03-03,-0.09679815450021734,0.04504357478326915,51.774,RISK_OFF
2020-03-04,-0.07301865740657865,0.04116982457211771,51.625,RISK_OFF
2020-03-05,-0.09958978965936771,0.06860221284286117,50.07,RISK_OFF
