trade_date,ts_code,close,pct_change,vol
2020-01-22,885756.TI,1748.215,0.0,46958434
2020-01-23,885756.TI,1693.439,0.0,54129601
2020-02-26,885756.TI,1986.002,0.0,95933885
2020-02-27,885756.TI,1942.978,0.0,78645549
2020-02-28,885756.TI,1801.792,0.0,79104591
2020-03-27,885756.TI,1644.888,0.0,37362553
2020-03-30,885756.TI,1579.34,0.0,42778902
2020-03-31,885756.TI,1573.598,0.0,34797044
2020-04-28,885756.TI,1576.965,0.0,41787904
2020-04-29,885756.TI,1572.542,0.0,27199572
2020-04-30,885756.TI,1649.97,0.0,44093779
2020-05-27,885756.TI,1711.715,0.0,40550076
2020-05-28,885756.TI,1705.747,0.0,42472790
2020-05-29,885756.TI,1708.837,0.0,41418130
2020-06-24,885756.TI,1845.979,0.0,42998438
2020-06-29,885756.TI,1829.128,0.0,39558107
2020-06-30,885756.TI,1862.14,0.0,42746312
2020-07-29,885756.TI,2051.353,0.0,61804214
2020-07-30,885756.TI,2045.201,0.0,63105469
2020-07-31,885756.TI,2078.392,0.0,64828107
2020-08-27,885756.TI,2084.523,0.0,50907794
2020-08-28,885756.TI,2099.296,0.0,59948763
2020-08-31,885756.TI,2105.077,0.0,64130379
2020-09-28,885756.TI,1947.648,0.0,28149431
2020-09-29,885756.TI,1981.736,0.0,31946962
2020-09-30,885756.TI,1974.011,0.0,28603026
2020-10-28,885756.TI,2028.655,0.0,38494433
2020-10-29,885756.TI,2013.746,0.0,38465341
2020-10-30,885756.TI,1983.09,0.0,50362316
2020-11-26,885756.TI,2064.969,0.0,43161592
2020-11-27,885756.TI,2063.595,0.0,36676851
2020-11-30,885756.TI,2062.926,0.0,50391191
2020-12-29,885756.TI,1928.978,0.0,49514905
2020-12-30,885756.TI,1935.2,0.0,53887966
2020-12-31,885756.TI,1971.434,0.0,52107188
2021-01-27,885756.TI,1903.502,0.0,44197274
2021-01-28,885756.TI,1866.804,0.0,51962046
2021-01-29,885756.TI,1827.937,0.0,54766791
2021-02-25,885756.TI,1849.701,0.0,41889780
2021-02-26,885756.TI,1841.129,0.0,39877036
2021-03-30,885756.TI,1776.503,0.0,32679890
2021-03-31,885756.TI,1779.644,0.0,27444642
2021-04-29,885756.TI,1851.307,0.0,39635436
2021-04-30,885756.TI,1836.392,0.0,42648180
2021-05-27,885756.TI,1963.576,0.0,52035037
2021-05-28,885756.TI,1953.48,0.0,54494856
2021-05-31,885756.TI,1991.457,0.0,48700680
2021-06-29,885756.TI,2211.809,0.0,63336541
2021-06-30,885756.TI,2275.444,0.0,64760076
2021-07-28,885756.TI,2311.699,0.0,91313910
2021-07-29,885756.TI,2425.668,0.0,87230604
2021-07-30,885756.TI,2460.722,0.0,89998831
2021-08-27,885756.TI,2450.934,0.0,62151752
2021-08-30,885756.TI,2449.507,0.0,69805010
2021-08-31,885756.TI,2412.872,0.0,64854636
2021-09-28,885756.TI,2307.466,0.0,37699693
2021-09-29,885756.TI,2234.014,0.0,44540561
2021-09-30,885756.TI,2285.422,0.0,33578772
2021-10-27,885756.TI,2280.835,0.0,47767160
2021-10-28,885756.TI,2240.311,0.0,47643632
2021-10-29,885756.TI,2290.398,0.0,46275207
2021-11-26,885756.TI,2621.685,0.0,54095804
2021-11-29,885756.TI,2627.144,0.0,55764718
2021-11-30,885756.TI,2659.839,0.0,62006133
2021-12-30,885756.TI,2617.121,0.0,53334637
2021-12-31,885756.TI,2623.693,0.0,46240860
2022-01-27,885756.TI,2289.917,0.0,44392658
2022-01-28,885756.TI,2307.009,0.0,39695263
2022-02-25,885756.TI,2418.358,0.0,43536962
2022-02-28,885756.TI,2415.891,0.0,40508253
2022-03-30,885756.TI,2169.056,0.0,35629657
2022-03-31,885756.TI,2149.255,0.0,37137088
2022-04-28,885756.TI,1687.55,0.0,40247672
2022-04-29,885756.TI,1764.881,0.0,45674335
2022-05-30,885756.TI,1936.218,0.0,36454165
2022-05-31,885756.TI,1978.418,0.0,46470474
2022-06-29,885756.TI,2190.972,0.0,72493222
2022-06-30,885756.TI,2218.414,0.0,59285255
2022-07-28,885756.TI,2292.426,0.0,64086302
2022-07-29,885756.TI,2270.553,0.0,55435244
2022-08-30,885756.TI,2281.44,0.0,45878336
2022-08-31,885756.TI,2216.0,0.0,53488416
2022-09-29,885756.TI,2011.463,0.0,29690142
2022-09-30,885756.TI,1965.228,0.0,27743109
2022-10-28,885756.TI,2079.67,0.0,55640385
2022-10-31,885756.TI,2133.849,0.0,59539688
2022-11-29,885756.TI,2214.838,0.0,39477948
2022-11-30,885756.TI,2206.412,0.0,40116746
