trade_date,ts_code,close,pct_change,vol
2020-01-21,881170.TI,2681.1516,0.0,6178068.49
2020-01-22,881170.TI,2711.0541,0.0,7092372.22
2020-01-23,881170.TI,2609.6849,0.0,8177900.88
2020-02-26,881170.TI,2632.7938,0.0,13051120.69
2020-02-27,881170.TI,2621.6783,0.0,8526608.81
2020-02-28,881170.TI,2455.5492,0.0,11373240.54
2020-03-27,881170.TI,2214.9246,0.0,4535588.63
2020-03-30,881170.TI,2142.6208,0.0,5122188.83
2020-03-31,881170.TI,2181.0566,0.0,5934178.51
2020-04-28,881170.TI,2114.0575,0.0,4961308.25
2020-04-29,881170.TI,2108.8225,0.0,3840524.88
2020-04-30,881170.TI,2177.8058,0.0,5694740.02
2020-05-27,881170.TI,2298.6948,0.0,6766882.26
2020-05-28,881170.TI,2311.2764,0.0,8559091.46
2020-05-29,881170.TI,2323.1994,0.0,8149149.23
2020-06-24,881170.TI,2378.2847,0.0,5887089.94
2020-06-29,881170.TI,2360.3055,0.0,5730482.41
2020-06-30,881170.TI,2396.4838,0.0,6916187.43
2020-07-29,881170.TI,2869.6248,0.0,12552775.75
2020-07-30,881170.TI,2835.424,0.0,11958484.05
2020-07-31,881170.TI,2836.9974,0.0,11604601.08
2020-08-27,881170.TI,2682.2108,0.0,5125905.62
2020-08-28,881170.TI,2713.3965,0.0,5368088.69
2020-08-31,881170.TI,2705.6846,0.0,6648909.9
2020-09-28,881170.TI,2469.7714,0.0,3075209.36
2020-09-29,881170.TI,2504.8584,0.0,3339341.28
2020-09-30,881170.TI,2487.6608,0.0,3308751.29
2020-10-28,881170.TI,2598.5872,0.0,5421495.32
2020-10-29,881170.TI,2600.5683,0.0,6217713.83
2020-10-30,881170.TI,2518.9957,0.0,6118497.68
2020-11-26,881170.TI,3033.3122,0.0,12954199.63
2020-11-27,881170.TI,2996.4641,0.0,11232605.09
2020-11-30,881170.TI,2986.8898,0.0,12966854.09
2020-12-29,881170.TI,3249.9834,0.0,21026809.55
2020-12-30,881170.TI,3345.1684,0.0,19900977.9
2020-12-31,881170.TI,3405.4881,0.0,19099878.37
2021-01-27,881170.TI,3606.7288,0.0,18842803.99
2021-01-28,881170.TI,3544.2745,0.0,16556865.39
2021-01-29,881170.TI,3454.5733,0.0,17882798.3
2021-02-24,881170.TI,3859.844,0.0,24877184.63
2021-02-25,881170.TI,3798.7625,0.0,21577746.59
2021-02-26,881170.TI,3677.6476,0.0,19517023.04
2021-03-29,881170.TI,3369.1116,0.0,9373412.44
2021-03-30,881170.TI,3433.0297,0.0,11751490.32
2021-03-31,881170.TI,3381.0781,0.0,9660007.9
2021-04-28,881170.TI,3617.9059,0.0,13235794.54
2021-04-29,881170.TI,3641.6057,0.0,13934995.4
2021-04-30,881170.TI,3652.9006,0.0,12855129.39
2021-05-27,881170.TI,4001.7038,0.0,10512576.63
2021-05-28,881170.TI,4070.2183,0.0,15846967.54
2021-05-31,881170.TI,4177.9136,0.0,16152165.09
2021-06-28,881170.TI,4016.2162,0.0,10285103.35
2021-06-29,881170.TI,3976.8027,0.0,10056029.16
2021-06-30,881170.TI,4046.3286,0.0,9827953.07
2021-07-28,881170.TI,4820.8934,0.0,21283378.9
2021-07-29,881170.TI,5096.6839,0.0,19373957.31
2021-07-30,881170.TI,5217.3466,0.0,19810912.01
2021-08-27,881170.TI,6075.9354,0.0,26161934.46
2021-08-30,881170.TI,6205.6754,0.0,28837994.5
2021-08-31,881170.TI,6399.4002,0.0,23520660.58
2021-09-28,881170.TI,5244.902,0.0,12906868.2
2021-09-29,881170.TI,4992.341,0.0,14486368.0
2021-09-30,881170.TI,5169.945,0.0,11000374.3
2021-10-28,881170.TI,4933.253,0.0,13957500.0
2021-10-29,881170.TI,5005.197,0.0,10709613.6
2021-11-29,881170.TI,5835.954,0.0,14912405.0
2021-11-30,881170.TI,5794.138,0.0,14154905.0
2021-12-29,881170.TI,5400.932,0.0,7685788.7
2021-12-30,881170.TI,5390.891,0.0,6715704.7
2021-12-31,881170.TI,5455.196,0.0,6709749.0
2022-01-27,881170.TI,4849.734,0.0,7312054.6
2022-01-28,881170.TI,4779.543,0.0,8255425.9
2022-02-25,881170.TI,5631.892,0.0,10558744.1
2022-02-28,881170.TI,5771.445,0.0,12635055.2
2022-03-30,881170.TI,4983.755,0.0,6481130.9
2022-03-31,881170.TI,4879.985,0.0,6824835.7
2022-04-28,881170.TI,4032.271,0.0,9559114.9
