trade_date,ts_code,close,pct_change,vol
2020-01-22,881121.TI,5580.544,0.0,23258936.0
2020-01-23,881121.TI,5383.678,0.0,26664119.0
2020-02-26,881121.TI,6331.552,0.0,40767555.0
2020-02-27,881121.TI,6167.366,0.0,35385109.0
2020-02-28,881121.TI,5753.534,0.0,33979569.0
2020-03-27,881121.TI,4974.764,0.0,11920184.9
2020-03-30,881121.TI,4774.298,0.0,14887579.0
2020-03-31,881121.TI,4776.975,0.0,12120901.3
2020-04-28,881121.TI,5015.075,0.0,17473076.0
2020-04-29,881121.TI,5036.017,0.0,12494322.3
2020-04-30,881121.TI,5327.179,0.0,20556960.0
2020-05-27,881121.TI,5527.862,0.0,16826428.0
2020-05-28,881121.TI,5506.73,0.0,15841214.0
2020-05-29,881121.TI,5494.098,0.0,15371281.0
2020-06-24,881121.TI,6107.287,0.0,18753185.0
2020-06-29,881121.TI,6053.913,0.0,16527491.0
2020-06-30,881121.TI,6181.235,0.0,17336185.0
2020-07-29,881121.TI,6655.603,0.0,18543979.0
2020-07-30,881121.TI,6652.523,0.0,20355432.0
2020-07-31,881121.TI,6794.02,0.0,23140081.0
2020-08-27,881121.TI,6566.379,0.0,14860284.0
2020-08-28,881121.TI,6584.289,0.0,13803563.0
2020-08-31,881121.TI,6599.002,0.0,13896470.0
2020-09-28,881121.TI,6183.2,0.0,8792937.7
2020-09-29,881121.TI,6300.605,0.0,8729098.0
2020-09-30,881121.TI,6260.396,0.0,7714942.4
2020-10-28,881121.TI,6394.106,0.0,9037738.8
2020-10-29,881121.TI,6341.274,0.0,8497946.5
2020-10-30,881121.TI,6312.574,0.0,13406521.5
2020-11-26,881121.TI,6743.41,0.0,11194476.6
2020-11-27,881121.TI,6779.73,0.0,10223789.3
2020-11-30,881121.TI,6807.819,0.0,12712358.6
2020-12-29,881121.TI,6466.341,0.0,11436746.6
2020-12-30,881121.TI,6504.374,0.0,12261118.2
2020-12-31,881121.TI,6640.373,0.0,12831558.9
2021-01-27,881121.TI,6523.053,0.0,12328910.3
2021-01-28,881121.TI,6384.253,0.0,12002641.3
2021-01-29,881121.TI,6263.184,0.0,13180699.2
2021-02-24,881121.TI,6341.495,0.0,11278741.6
2021-02-25,881121.TI,6251.277,0.0,9572485.4
2021-02-26,881121.TI,6189.239,0.0,9418379.9
2021-03-29,881121.TI,5969.343,0.0,8401759.5
2021-03-30,881121.TI,5937.565,0.0,7932976.3
2021-03-31,881121.TI,5933.631,0.0,7346381.8
2021-04-28,881121.TI,6366.776,0.0,9711172.8
2021-04-29,881121.TI,6373.906,0.0,11502237.1
2021-04-30,881121.TI,6299.957,0.0,11461327.5
2021-05-27,881121.TI,6651.12,0.0,17593278.0
2021-05-28,881121.TI,6607.891,0.0,14434676.0
2021-05-31,881121.TI,6750.481,0.0,13623466.0
2021-06-29,881121.TI,7855.25,0.0,19850660.0
2021-06-30,881121.TI,8190.756,0.0,23500394.0
2021-07-29,881121.TI,9321.292,0.0,31260728.0
2021-07-30,881121.TI,9387.787,0.0,29676009.0
2021-08-30,881121.TI,8696.304,0.0,18279307.0
2021-08-31,881121.TI,8504.397,0.0,17909521.0
2021-09-29,881121.TI,7801.162,0.0,10398008.7
2021-09-30,881121.TI,7983.884,0.0,8479320.0
2021-10-27,881121.TI,7888.7,0.0,12505747.4
2021-10-28,881121.TI,7745.179,0.0,11861682.8
2021-10-29,881121.TI,7948.004,0.0,13185875.9
2021-11-29,881121.TI,9529.975,0.0,15284434.0
2021-11-30,881121.TI,9577.442,0.0,16962551.0
2021-12-30,881121.TI,9049.09,0.0,11598742.3
2021-12-31,881121.TI,9051.113,0.0,9863051.1
2022-01-27,881121.TI,7719.447,0.0,8491846.3
2022-01-28,881121.TI,7696.685,0.0,7989995.2
2022-02-25,881121.TI,8044.69,0.0,9056118.8
2022-02-28,881121.TI,8059.7,0.0,7514140.0
2022-03-30,881121.TI,7155.806,0.0,6903370.3
2022-03-31,881121.TI,7056.599,0.0,7383562.2
2022-04-28,881121.TI,5571.327,0.0,9377300.9
2022-04-29,881121.TI,5828.821,0.0,11329784.6
2022-05-30,881121.TI,6315.985,0.0,7891100.2
2022-05-31,881121.TI,6519.107,0.0,11754781.1
2022-06-29,881121.TI,7182.878,0.0,23075000.0
2022-06-30,881121.TI,7313.522,0.0,18179504.0
2022-07-28,881121.TI,7313.744,0.0,19209270.0
2022-07-29,881121.TI,7156.25,0.0,16755029.0
2022-08-30,881121.TI,7129.851,0.0,11142461.8
2022-08-31,881121.TI,6934.371,0.0,13837062.0
2022-09-29,881121.TI,6245.293,0.0,7606671.5
2022-09-30,881121.TI,6068.459,0.0,7135127.0
2022-10-28,881121.TI,6319.836,0.0,16711333.0
2022-10-31,881121.TI,6477.382,0.0,15011989.0
2022-11-29,881121.TI,6771.294,0.0,11297146.3
2022-11-30,881121.TI,6745.273,0.0,11525153.3
2022-12-29,881121.TI,6358.183,0.0,7816081.6
2022-12-30,881121.TI,6319.599,0.0,8440290.9
2023-01-30,881121.TI,7088.71,0.0,13967254.0
2023-01-31,881121.TI,6974.494,0.0,12005851.9
2023-02-28,881121.TI,7048.527,0.0,10712900.9
2023-03-30,881121.TI,7719.932,0.0,22100011.0
2023-03-31,881121.TI,7731.57,0.0,19168231.0
2023-04-27,881121.TI,7186.031,0.0,17913055.0
2023-04-28,881121.TI,7332.312,0.0,18446441.0
2023-05-30,881121.TI,7671.622,0.0,20023994.0
2023-05-31,881121.TI,7748.866,0.0,21140037.0
2023-06-29,881121.TI,7437.785,0.0,14164902.0
2023-06-30,881121.TI,7551.199,0.0,16981802.0
2023-07-28,881121.TI,7248.226,0.0,12566582.2
2023-07-31,881121.TI,7272.624,0.0,13104538.5
2023-08-30,881121.TI,6931.827,0.0,20721421.0
2023-08-31,881121.TI,7022.317,0.0,18480991.0
2023-09-28,881121.TI,6795.182,0.0,11956855.3
2023-10-30,881121.TI,7027.079,0.0,24701245.0
2023-10-31,881121.TI,7003.025,0.0,18337727.0
2023-11-30,881121.TI,7194.818,0.0,12543434.9
2023-12-28,881121.TI,6888.241,0.0,11417306.5
2023-12-29,881121.TI,7040.36,0.0,11803447.5
2024-01-30,881121.TI,5336.002,0.0,11566603.8
2024-01-31,881121.TI,5072.686,0.0,14331591.0
2024-02-28,881121.TI,5491.712,0.0,27974964.0
2024-02-29,881121.TI,5831.822,0.0,23276686.0
2024-03-28,881121.TI,5736.188,0.0,18305097.0
2024-03-29,881121.TI,5804.272,0.0,14722555.0
2024-04-29,881121.TI,5749.133,0.0,19278566.0
2024-04-30,881121.TI,5678.964,0.0,15864772.0
2024-05-31,881121.TI,5695.618,0.0,20560835.0
2024-06-27,881121.TI,5814.385,0.0,25657164.0
2024-06-28,881121.TI,5885.944,0.0,27825525.0
2024-07-30,881121.TI,5814.595,0.0,14669116.0
2024-07-31,881121.TI,6044.695,0.0,19704328.0
2024-08-29,881121.TI,5279.276,0.0,8340042.8
2024-08-30,881121.TI,5443.111,0.0,12712050.4
2024-09-27,881121.TI,5789.529,0.0,15928469.0
2024-09-30,881121.TI,6732.392,0.0,34522095.0
2024-10-31,881121.TI,8116.031,0.0,40351682.0
2024-11-28,881121.TI,8224.354,0.0,22301050.0
2024-11-29,881121.TI,8399.822,0.0,25683114.0
2024-12-31,881121.TI,8150.537,0.0,21727586.0
2025-02-27,881121.TI,9623.576,0.0,27347049.0
2025-02-28,881121.TI,9100.212,0.0,28270279.0
2025-03-28,881121.TI,8781.233,0.0,11258839.4
2025-03-31,881121.TI,8794.886,0.0,12994548.8
2025-04-29,881121.TI,8530.119,0.0,11026205.4
2025-04-30,881121.TI,8661.318,0.0,14439144.0
2025-05-29,881121.TI,8509.946,0.0,10574156.3
2025-05-30,881121.TI,8336.177,0.0,8302887.0
